Keyword_ID,Group_Name
11,Programming
15,Others
5,Six Sigma
1,Project Management
6,Digital Marketing
3,Data Analytics
12,AI/ML
13,Cloud
9,Excel
7,Cyber Security
8,Python
14,Career
10,SQL & Database
2,Scrum & Agile
